Sampling date,Site,Result,Site population,Notes
21/12/2020,Elanora,Non-detect,65315,
21/12/2020,Gibson Island,Non-detect,198244,
21/12/2020,Luggage Point,Non-detect,504529,
21/12/2020,Maryborough,Non-detect,21460,
21/12/2020,Merrimac,Non-detect,151839,
21/12/2020,Pimpama,Non-detect,43595,
21/12/2020,Port Douglas,Non-detect,4342,
21/12/2020,Rockhampton North,Non-detect,40970,
21/12/2020,Stanthorpe,Non-detect,4041,
21/12/2020,Wynnum,Detect,35305,
22/12/2020,Bundaberg,Detect,47787,
22/12/2020,Bundamba,Non-detect,84942,
22/12/2020,Caboolture South,Non-detect,47207,
22/12/2020,Cairns North,Detect,43924,
22/12/2020,Cairns South,Non-detect,47588,
22/12/2020,Carole Park,Non-detect,9404,
22/12/2020,Condon,Non-detect,18319,
22/12/2020,Fairfield,Detect,13858,
22/12/2020,Gibson Island,Non-detect,198244,
22/12/2020,Goodna,Detect,79621,
22/12/2020,Kawana,Non-detect,78648,
22/12/2020,Luggage Point,Non-detect,504529,
22/12/2020,Mackay South,Non-detect,61094,
22/12/2020,Maroochydore,Non-detect,13858,
22/12/2020,Maryborough,Detect,21460,
22/12/2020,Mount St John,Non-detect,68456,
22/12/2020,Nambour,Detect,22016,
22/12/2020,Noosa,Non-detect,31842,
22/12/2020,Oxley Creek,Detect,231643,
22/12/2020,Pulgul,Non-detect,15765,
22/12/2020,Redcliffe,Detect,58019,
22/12/2020,Sandgate,Non-detect,100673,
22/12/2020,Wacol,Non-detect,38072,
22/12/2020,Warwick,Non-detect,12604,
22/12/2020,Wynnum,Detect,35305,
23/12/2020,Cairns North,Detect,43924,
23/12/2020,Cairns South,Non-detect,47588,
23/12/2020,Cannonvale,Non-detect,8362,
23/12/2020,Capalaba,Non-detect,23928,
23/12/2020,Cleveland,Non-detect,34579,
23/12/2020,Elanora,Non-detect,65315,
23/12/2020,Fairfield,Detect,13858,
23/12/2020,Goodna,Non-detect,79621,
23/12/2020,Oxley Creek,Non-detect,231643,
23/12/2020,Pimpama,Non-detect,43595,
23/12/2020,Sandgate,Non-detect,100673,
23/12/2020,Thorneside,Non-detect,13943,
23/12/2020,Victoria Point,Detect,30501,
23/12/2020,Wacol,Non-detect,38072,
24/12/2020,Coombabah,Non-detect,238437,
24/12/2020,Merrimac,Detect,151839,
28/12/2020,Bundamba,Detect,84942,
28/12/2020,Maryborough,Non-detect,21460,
28/12/2020,Wynnum,Non-detect,35305,
29/12/2020,Bundamba,Non-detect,84942,
29/12/2020,Cleveland Bay,Non-detect,77595,
29/12/2020,Condon,Non-detect,18319,
29/12/2020,Loganholme,Detect,205541,
29/12/2020,Luggage Point,Non-detect,504529,
29/12/2020,Maryborough,Non-detect,21460,
29/12/2020,Port Douglas,Non-detect,4342,
29/12/2020,Pulgul,Non-detect,15765,
29/12/2020,Stanthorpe,Detect,4041,
29/12/2020,Wynnum,Non-detect,35305,
30/12/2020,Bundaberg,Detect,47787,
30/12/2020,Cairns North,Detect,43924,
30/12/2020,Cairns South,Non-detect,47588,
30/12/2020,Capalaba,Non-detect,23928,
30/12/2020,Carole Park,Non-detect,9404,
30/12/2020,Cleveland,Non-detect,34579,
30/12/2020,Coombabah,Non-detect,238437,
30/12/2020,Elanora,Detect,65315,
30/12/2020,Fairfield,Non-detect,13858,
30/12/2020,Goodna,Non-detect,79621,
30/12/2020,Goodna,Non-detect,79621,
30/12/2020,Loganholme,Non-detect,205541,
30/12/2020,Merrimac,Non-detect,151839,
30/12/2020,Oxley Creek,Non-detect,231643,
30/12/2020,Pimpama,Non-detect,43595,
30/12/2020,Rockhampton North,Non-detect,40970,
30/12/2020,Sandgate,Non-detect,100673,
30/12/2020,Thorneside,Non-detect,13943,
30/12/2020,Victoria Point,Non-detect,30501,
30/12/2020,Wacol,Non-detect,38072,
30/12/2020,Warwick,Detect,12604,
31/12/2020,Carole Park,Non-detect,9404,
31/12/2020,Fairfield,Non-detect,13858,
31/12/2020,Wacol,Non-detect,38072,
